registration_date;activation_date;merchant_id;type;ind_frod
16.12.2023;24.12.2023;1;IE;0.0
05.09.2023;08.09.2023;2;IE;0.0
16.04.2023;22.04.2023;3;IE;0.0
23.12.2023;24.12.2023;4;IE;0.0
28.01.2023;;5;IE;0.0
05.07.2023;;6;IE;0.0
25.06.2023;;7;IE;0.0
27.10.2023;29.10.2023;8;IE;0.0
18.06.2023;24.06.2023;9;IE;0.0
21.12.2023;;10;IE;0.0
13.06.2023;;11;IE;0.0
30.08.2023;06.09.2023;12;IE;0.0
05.12.2023;09.12.2023;13;IE;0.0
23.04.2023;;14;IE;0.0
16.02.2023;;15;IE;
11.07.2023;21.07.2023;16;IE;1.0
21.09.2023;27.08.2023;17;IE;1.0
04.08.2023;08.08.2023;18;IE;1.0
23.10.2023;03.11.2023;19;IE;0.0
06.02.2023;;20;IE;1.0
10.11.2023;19.11.2023;21;IE;0.0
17.07.2023;23.07.2023;22;IE;0.0
27.07.2023;30.07.2023;23;IE;0.0
16.05.2023;;24;IE;0.0
25.11.2023;;25;IE;0.0
01.12.2023;;26;IE;0.0
20.12.2023;25.12.2023;27;IE;1.0
24.09.2023;26.09.2023;28;IE;0.0
29.12.2023;06.01.2024;29;IE;1.0
21.01.2023;;30;IE;0.0
05.12.2023;;31;IE;0.0
05.05.2023;11.05.2023;32;IE;0.0
01.02.2023;08.02.2023;33;IE;0.0
21.04.2023;26.04.2023;34;IE;0.0
18.03.2023;28.03.2023;35;IE;0.0
23.04.2023;;36;IE;0.0
09.02.2023;17.02.2023;37;IE;0.0
11.08.2023;15.08.2023;38;IE;0.0
06.03.2023;;39;IE;0.0
21.12.2023;;40;IE;0.0
10.11.2023;11.11.2023;41;IE;0.0
15.08.2023;21.08.2023;42;IE;0.0
24.06.2023;02.07.2023;43;IE;0.0
03.10.2023;;44;IE;0.0
18.07.2023;21.07.2023;45;IE;0.0
27.02.2023;02.03.2023;46;IE;0.0
04.03.2023;;47;IE;0.0
10.02.2023;21.02.2023;48;IE;0.0
02.09.2023;06.09.2023;49;IE;0.0
14.10.2023;;50;IE;0.0
30.04.2023;;51;IE;0.0
11.09.2023;13.09.2023;52;IE;1.0
17.03.2023;;53;IE;1.0
10.07.2023;20.07.2023;54;IE;0.0
14.03.2023;;55;IE;0.0
13.12.2023;;56;IE;0.0
16.07.2023;19.07.2023;57;IE;0.0
13.05.2023;;58;IE;0.0
21.08.2023;24.08.2023;59;IE;0.0
29.05.2023;06.06.2023;60;IE;0.0
03.07.2023;;61;IE;0.0
03.04.2023;;62;IE;0.0
06.11.2023;15.11.2023;63;IE;0.0
22.03.2023;24.03.2023;64;IE;1.0
12.12.2023;;65;IE;0.0
17.10.2023;28.10.2023;66;IE;0.0
05.11.2023;14.11.2023;67;IE;0.0
21.02.2023;04.03.2023;68;IE;0.0
04.11.2023;;69;IE;0.0
25.01.2023;;70;IE;0.0
04.06.2023;14.06.2023;71;IE;0.0
12.06.2023;;72;IE;0.0
19.10.2023;;73;IE;0.0
12.01.2023;;74;IE;0.0
08.03.2023;10.03.2023;75;IE;0.0
08.12.2023;;76;IE;0.0
03.01.2023;13.01.2023;77;IE;0.0
02.06.2023;09.06.2023;78;IE;0.0
20.11.2023;;79;IE;0.0
28.03.2023;;80;IE;0.0
25.08.2023;27.08.2023;81;IE;1.0
08.10.2023;;82;IE;0.0
30.03.2023;01.04.2023;83;IE;0.0
19.12.2023;;84;IE;0.0
